# Self-published geofeed as defined in datatracker.ietf.org/doc/html/rfc8805,,,,
# lastupdated (rfc3339): 2026-01-28T13:49:30+01:00,,,,
prefix,country,region,city,postal_code
185.181.122.0/24,DE,,Frankfurt,
185.181.123.0/24,DE,,Frankfurt,
185.182.44.0/24,DE,,Frankfurt,
185.182.45.0/24,DE,,Frankfurt,
185.182.46.0/24,DE,,Frankfurt,
185.182.47.0/24,DE,,Frankfurt,
185.182.232.0/24,DE,,Frankfurt,
185.182.233.0/24,DE,,Frankfurt,
185.182.234.0/24,DE,,Frankfurt,
185.182.235.0/24,DE,,Frankfurt,
185.183.176.0/24,DE,,Frankfurt,
185.183.177.0/24,DE,,Frankfurt,
185.183.178.0/24,DE,,Frankfurt,
185.183.179.0/24,DE,,Frankfurt,
185.184.200.0/24,DE,,Frankfurt,
185.184.201.0/24,DE,,Frankfurt,
185.184.202.0/24,DE,,Frankfurt,
185.184.203.0/24,DE,,Frankfurt,
185.189.0.0/24,DE,,Frankfurt,
185.189.1.0/24,DE,,Frankfurt,
185.189.2.0/24,DE,,Frankfurt,
185.189.3.0/24,DE,,Frankfurt,
185.190.236.0/24,DE,,Frankfurt,
185.190.237.0/24,DE,,Frankfurt,
185.190.238.0/24,DE,,Frankfurt,
185.190.239.0/24,DE,,Frankfurt,
185.192.172.0/24,DE,,Frankfurt,
185.192.173.0/24,DE,,Frankfurt,
185.192.174.0/24,DE,,Frankfurt,
185.192.175.0/24,DE,,Frankfurt,
185.193.80.0/24,DE,,Frankfurt,
185.193.81.0/24,DE,,Frankfurt,
185.193.82.0/24,DE,,Frankfurt,
185.193.83.0/24,DE,,Frankfurt,
185.194.36.0/24,DE,,Frankfurt,
185.194.37.0/24,DE,,Frankfurt,
185.194.38.0/24,DE,,Frankfurt,
185.194.39.0/24,DE,,Frankfurt,
185.194.149.0/24,DE,,,
185.196.108.0/24,DE,,Frankfurt,
185.196.109.0/24,DE,,Frankfurt,
185.196.110.0/24,DE,,Frankfurt,
185.196.111.0/24,DE,,Frankfurt,
185.197.28.0/24,US,US-NY,New York,
185.197.29.0/24,US,US-NY,New York,
185.198.24.0/24,US,US-NY,New York,
185.198.25.0/24,US,US-NY,New York,
185.199.68.0/24,DE,,Frankfurt,
185.199.69.0/24,DE,,Frankfurt,
185.199.70.0/24,DE,,Frankfurt,
185.199.71.0/24,DE,,Frankfurt,
185.200.32.0/24,DE,,,
185.200.33.0/24,DE,,,
185.200.35.0/24,DE,,,
185.200.136.0/24,DE,,Frankfurt,
185.200.137.0/24,DE,,Frankfurt,
185.200.138.0/24,DE,,Frankfurt,
185.200.139.0/24,DE,,Frankfurt,
185.201.160.0/24,DE,,Frankfurt,
185.201.161.0/24,DE,,Frankfurt,
185.201.162.0/24,DE,,Frankfurt,
185.201.163.0/24,DE,,Frankfurt,
185.201.224.0/24,US,US-TX,Dallas,
185.201.225.0/24,US,US-TX,Dallas,
185.202.156.0/24,DE,,Frankfurt,
185.202.157.0/24,DE,,Frankfurt,
185.202.158.0/24,DE,,Frankfurt,
185.202.159.0/24,DE,,Frankfurt,
185.203.120.0/24,DE,,Frankfurt,
185.203.121.0/24,DE,,Frankfurt,
185.205.14.0/24,DE,,Frankfurt,
185.205.15.0/24,DE,,Frankfurt,
185.205.195.0/24,DE,,,
185.208.236.0/24,US,US-NY,New York,
185.208.237.0/24,US,US-NY,New York,
185.208.238.0/24,US,US-NY,New York,
185.208.239.0/24,US,US-NY,New York,
185.209.252.0/24,US,US-NY,New York,
185.209.253.0/24,US,US-NY,New York,
185.209.254.0/24,US,US-NY,New York,
185.209.255.0/24,US,US-NY,New York,
185.217.148.0/22,US,,,
185.218.52.0/24,US,US-NY,New York,
185.218.53.0/24,US,US-NY,New York,
185.218.54.0/24,US,US-NY,New York,
185.218.55.0/24,US,US-NY,New York,
185.223.252.0/24,DE,,Frankfurt,
185.223.253.0/24,DE,,Frankfurt,
185.226.212.0/24,ES,,Madrid,
185.226.213.0/24,ES,,Madrid,
185.226.214.0/24,ES,,Madrid,
185.226.215.0/24,ES,,Madrid,
185.228.16.0/24,DE,,Frankfurt,
185.228.17.0/24,DE,,Frankfurt,
185.228.18.0/24,DE,,,
185.229.116.0/24,DE,,Frankfurt,
185.229.117.0/24,DE,,Frankfurt,
185.232.4.0/24,DE,,Frankfurt,
185.232.5.0/24,DE,,Frankfurt,
185.232.6.0/24,US,US-TX,Dallas,
185.232.7.0/24,US,US-TX,Dallas,
185.239.212.0/24,US,US-TX,Dallas,
185.239.213.0/24,US,US-TX,Dallas,
185.239.214.0/24,US,US-TX,Dallas,
185.239.215.0/24,US,US-TX,Dallas,
185.245.252.0/24,US,,,
185.245.253.0/24,DE,,,
185.249.96.0/24,DE,,Frankfurt,
185.249.97.0/24,DE,,Frankfurt,
185.249.98.0/24,DE,,Frankfurt,
185.249.99.0/24,DE,,Frankfurt,
185.252.149.0/24,DE,,Frankfurt,
185.252.150.0/24,DE,,Frankfurt,
185.252.151.0/24,DE,,Frankfurt,
188.93.143.0/24,DE,,Frankfurt,
193.3.173.0/24,DE,,Frankfurt,
193.5.151.0/24,DE,,Frankfurt,
193.32.172.0/24,AU,,Sydney,
193.58.188.0/24,US,US-WA,Seattle,
193.58.189.0/24,US,US-WA,Seattle,
193.58.190.0/24,US,US-WA,Seattle,
193.58.191.0/24,US,US-WA,Seattle,
194.26.130.0/24,US,US-TX,Dallas,
194.26.212.0/24,US,US-TX,Dallas,
194.26.219.0/24,DE,,Frankfurt,
194.31.100.0/24,US,US-WA,Seattle,
194.31.101.0/24,US,US-WA,Seattle,
194.31.102.0/24,US,US-WA,Seattle,
194.31.103.0/24,US,US-WA,Seattle,
194.76.248.0/24,ES,,Madrid,
194.76.249.0/24,ES,,Madrid,
194.76.250.0/24,ES,,Madrid,
194.76.251.0/24,ES,,Madrid,
194.110.87.0/24,US,,,
194.110.92.0/24,US,US-WA,Seattle,
194.110.93.0/24,US,US-WA,Seattle,
194.110.94.0/24,US,US-WA,Seattle,
194.110.95.0/24,US,US-WA,Seattle,
194.110.143.0/24,US,US-WA,Seattle,
194.110.200.0/24,US,US-WA,Seattle,
194.110.210.0/24,US,US-WA,Seattle,
194.156.138.0/24,US,US-WA,Seattle,
194.156.139.0/24,US,US-WA,Seattle,
195.16.64.0/24,US,US-TX,Dallas,
195.16.65.0/24,US,US-TX,Dallas,
195.16.66.0/24,US,US-TX,Dallas,
195.16.67.0/24,US,US-TX,Dallas,
195.28.21.0/24,DE,,Frankfurt,
195.96.142.0/24,DE,,Frankfurt,
195.179.194.0/24,DE,,Frankfurt,
195.179.195.0/24,DE,,Frankfurt,
212.18.125.0/24,DE,,Frankfurt,
212.23.213.0/24,DE,,Frankfurt,
212.52.15.0/24,US,US-TX,Dallas,
